,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,price_dls
5738,29610561,Espacio San Benito de Palermo,145868875,Fede,Palermo,-34.56792,-58.43384,Entire home/apt,7238,3,40,2022-05-02,0.85,1,131,10,47.72
5739,29611968,Recoleta Apparent Córdoba Ave.,1498090,Santiago J.,San Nicolas,-34.59998,-58.38716,Entire home/apt,12718,2,6,2019-01-30,0.13,1,0,0,83.85
5740,29518267,Departamento cálido y luminoso en Palermo/V.Crespo,112728919,Facundo,Villa Crespo,-34.59461,-58.4405,Entire home/apt,3174,3,38,2022-09-07,0.84,1,302,24,20.93
5741,29613691,Departamento a dos cuadras del Parque,163722556,Nano,Parque Chacabuco,-34.63029,-58.43977,Private room,800,1,0,0,0.0,1,87,0,5.27
5742,29531845,Departamento a estrenar en Palermo Hollywood,139482182,Myriam,Palermo,-34.58166,-58.43415,Entire home/apt,3619,2,71,2022-09-19,1.57,1,33,36,23.86
5743,29619858,Exclusive studio Recoleta!,96711489,Camilo,Recoleta,-34.58854,-58.38527,Entire home/apt,4053,14,16,2022-07-04,0.37,1,265,3,26.72
5744,29532649,Double room ensuite at Sabatico guesthouse,3871145,Sebastian,Monserrat,-34.61639,-58.38709,Hotel room,7362,1,0,0,0.0,18,105,0,48.54
5745,29534141,PETTIT RECOLETA | BONJOUR BA,82531946,Maria Laura,Recoleta,-34.58903,-58.40334,Entire home/apt,4550,3,68,2022-09-12,1.44,3,282,40,30.0
5746,29827999,Luminoso Studio con Pileta y Cochera s/c PALERMO,560338,Carlos,Palermo,-34.57444,-58.43897,Entire home/apt,6148,2,50,2022-09-08,1.06,23,336,39,40.54
5747,29828001,Apartamento luminoso y hermosa vista de la ciudad,224364151,Leonardo,Paternal,-34.60416,-58.45889,Entire home/apt,5087,1,56,2022-09-18,1.2,1,41,34,33.54
5748,29626011,Habitación linda c/Baño Privado Suite en Recoleta.,2472490,Miguel Y Florencia,Recoleta,-34.58831,-58.40573,Private room,2606,2,47,2020-03-09,1.0,1,73,0,17.18
5749,29828189,Vintage Art Home,220715037,Pamela,Villa Crespo,-34.60205,-58.44142,Entire home/apt,4343,4,14,2022-07-30,0.31,1,125,6,28.63
5750,29631052,Encantador departamento en PALERMO SOHO,11039889,Oliver,Palermo,-34.58791,-58.42764,Entire home/apt,4652,3,74,2022-09-04,1.57,6,313,19,30.67
5751,29830385,Cozy Industrial Loft Hist Building  close STelmo,171816523,Juan Y Gabriel,Constitucion,-34.62709,-58.37714,Entire home/apt,4800,4,149,2022-07-10,3.17,1,264,8,31.65
5752,29632560,Best in Belgrano! (elegant 1 bedroom with pool!),223058768,Constanza,Belgrano,-34.5668,-58.46122,Entire home/apt,6659,4,11,2022-08-21,0.23,1,214,2,43.9
5753,29633589,New look apartment: Best place for travel or work.,9541097,Alberto Manuel,Retiro,-34.59448,-58.38037,Entire home/apt,4425,3,29,2022-09-16,0.62,1,111,16,29.18
5754,29830683,"UNICO, BELGRANO... Frente  Embajada Alemania",13200394,Andrea,Belgrano,-34.56264,-58.44338,Entire home/apt,5790,3,0,0,0.0,1,295,0,38.17
5755,29634731,Confortable Apartamento Puerto Madero Buenos Aires,15890874,Genaro,Puerto Madero,-34.60967,-58.3626,Entire home/apt,9627,3,38,2022-08-17,0.83,1,63,10,63.47
5756,29645982,Cosy studio in Belgrano,190319635,Matías,Belgrano,-34.56746,-58.45995,Entire home/apt,5800,2,27,2022-04-24,0.58,2,292,4,38.24
5757,29842128,Loft amplio y luminoso en Villa Crespo,174192726,Fernanda,Villa Crespo,-34.59749,-58.43353,Entire home/apt,5790,2,11,2020-01-21,0.28,1,0,0,38.17
5758,29648910,Best location in Buenos Aires - Enjoy the city,40544204,Uriel,Retiro,-34.59388,-58.379299,Entire home/apt,6224,2,53,2022-09-17,1.13,11,203,13,41.04
5759,29650784,Stay at home,13703206,Gabriela,Balvanera,-34.60129,-58.39622,Private room,1592,10,4,2020-02-07,0.09,4,233,0,10.5
5760,29845628,Bright and Modern Apartment in Palermo (Cañitas),21235383,Jorge,Palermo,-34.57245,-58.43297,Entire home/apt,4240,5,10,2022-09-01,0.22,4,48,4,27.96
5761,29848233,Habitación en casa con encanto de Palermo.,224466212,Susy,Palermo,-34.58088,-58.42597,Private room,2867,7,8,2022-08-31,0.17,1,349,6,18.9
5762,29654728,Ayres Apartments Plaza,5882751,Ayres,Recoleta,-34.58811,-58.39279,Entire home/apt,26055,1,12,2022-09-12,1.37,6,311,12,171.79
5763,29658323,Habitación muy espaciosa en casa con jardín.,103365703,Tomas,Villa Crespo,-34.60454,-58.44257,Private room,3000,1,18,2022-07-16,0.39,3,365,14,19.78
5764,29658697,Depto privado en Belgrano R - Zona residencial,58586701,Ale,Belgrano,-34.56515,-58.46467,Entire home/apt,9698,1,2,2018-11-25,0.04,1,364,0,63.94
5765,29849875,Altos de Lavalle,182268672,Mike,Almagro,-34.60191,-58.41407,Private room,4343,2,19,2022-09-09,0.41,3,320,10,28.63
5766,29857460,La casa de Rosa,224551219,Rosa,Recoleta,-34.59725,-58.40539,Entire home/apt,3800,1,140,2022-09-19,2.97,1,158,32,25.05
5767,29659240,D Full Studio w/Balcony safe zone Palermo Soho,5065463,Guido,Palermo,-34.59066,-58.42239,Entire home/apt,5066,3,25,2022-09-15,2.39,13,293,25,33.4
5768,29857895,Espectacular PH/Argentina-Caba Devoto-Octubre,51965831,Lili,Villa Pueyrredon,-34.58849713811835,-58.50810923269435,Private room,2151,30,0,0,0.0,1,356,0,14.18
5769,29858297,Great Views in the Best Area  w/pool✰,1875949,Diego,Palermo,-34.57846,-58.40805,Entire home/apt,12056,4,18,2022-05-30,0.39,75,335,6,79.49
5770,29661675,"Super cute, bright and modern apartment",128987633,Alejandro,San Cristobal,-34.62616,-58.40754,Entire home/apt,4500,4,7,2022-08-25,1.14,1,263,7,29.67
5771,29673567,Exclusive apartment with garage and security,223325578,Rolando,Belgrano,-34.56294,-58.45062,Entire home/apt,25332,4,31,2022-08-31,0.67,1,90,1,167.02
5772,29859543,Depto impecable en el corazón de Recoleta,224565238,Ramiro,Retiro,-34.59162,-58.38675,Entire home/apt,14475,7,0,0,0.0,1,365,0,95.44
5773,29674215,"PALERMO AMPLIO, LUMINOSO Y TRANQUILO c BALCÓN WiFi",48315952,Carlos,Palermo,-34.58385,-58.41182,Entire home/apt,15923,2,1,2018-12-03,0.02,1,0,0,104.98
5774,29860176,Design studio en Palermo Hollywood,36981277,Gustavo,Palermo,-34.57944,-58.43496,Entire home/apt,4343,3,72,2022-08-29,1.54,2,123,25,28.63
5775,29869275,Departamento amplio en Congreso 160 mts2,62409737,Barbie,Balvanera,-34.6168,-58.3966,Entire home/apt,5066,3,0,0,0.0,5,295,0,33.4
5776,29677059,Cozy brand new Studio in Palermo Soho,86367541,Roby,Palermo,-34.58738,-58.42417,Entire home/apt,5211,4,35,2020-03-13,0.75,2,0,0,34.36
5777,29869307,Luminoso apartamento para 3 personas en Recoleta,3469227,Federico,Recoleta,-34.59013,-58.40318,Entire home/apt,8396,3,4,2021-09-30,0.19,132,264,1,55.36
5778,29677266,Departamento entero en Palermo Queens,5390683,Juan,Villa Crespo,-34.59487,-58.43587,Entire home/apt,4343,30,14,2022-06-15,0.31,1,270,9,28.63
5779,29679167,NEWLY REMODELED IN PALERMO SOHO (Vol. II),4211617,Martin,Palermo,-34.58752,-58.4224,Entire home/apt,21713,2,66,2020-03-11,1.4,2,365,0,143.16
5780,29870169,Comfortable apartment in Recoleta/Retiro,68315001,Robert,Retiro,-34.59326,-58.38523,Entire home/apt,5066,3,17,2020-01-27,0.36,1,0,0,33.4
5782,29871720,PALERMO SOHO! Studio with Huge Balcony!,67086449,Rodrigo,Palermo,-34.58224,-58.42217,Entire home/apt,5790,5,44,2022-09-13,0.96,49,348,23,38.17
5783,29872229,Individual room in shared apartment (Recoleta),224642819,Annika,Retiro,-34.5966,-58.38101,Private room,2461,7,2,2019-02-24,0.04,6,31,0,16.23
5784,29680878,"Amplio monoambiento , con balcón en Palermo SOHO",49480723,Delia Concepcion,Palermo,-34.58865,-58.43376,Entire home/apt,6514,1,6,2019-11-06,0.13,42,297,0,42.95
5785,29681235,Beautifull house in typical Porteño neighborhood.,83154688,Ary Benjamin,Boedo,-34.62427,-58.42171,Entire home/apt,6080,3,72,2022-08-28,1.61,2,127,15,40.09
5786,29873683,Muy Lindo y Cómodo 2 ambientes en Villa Urquiza,188310537,Alicia,Villa Urquiza,-34.56917,-58.48587,Entire home/apt,3764,5,1,2019-04-10,0.02,1,86,0,24.82
5787,29879870,(3)Full house 6 Luxury rooms & private bathroom,202978181,Ruben Alberto,San Telmo,-34.6269,-58.36946,Entire home/apt,17370,3,14,2020-03-20,0.3,4,164,0,114.52
5788,29682472,"Muy lindo  Retiro  2 ambientes y patio, jacuzzy",223388100,Estela,Retiro,-34.59628,-58.37977,Entire home/apt,2481,5,16,2022-07-10,0.36,1,313,5,16.36
